link,name
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/20506/,Projetores
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10456/,Sapateiras
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/36812/,Smart lighting
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10455/,Cabides e varões
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10731/,Candeeiros de pé
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10803/,"Abajures, bases e cabos"
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/20489/,Espelhos
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10452/,Organizadores para roupa
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10728/,Bancos
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/16274/,Ganchos e cabides
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10744/,Lâmpadas LED
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/20515/,Iluminação LED
https://www.ikea.com/pt/pt/catalog/categories/departments/hallway/10398/,Prateleiras
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/10550/,Caixas de arrumação e cestos
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/10397/,Sistemas de arrumação e módulos
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/16213/,Cestos e sacos
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/11466/,Sistema de arrumação aberta para roupa e sapatos
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/10452/,Organizadores para roupa
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/16274/,Ganchos e cabides
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/29879/,PAX roupeiros integrados
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/19053/,Roupeiros
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/18741/,Separação de resíduos
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/16200/,Despensa
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/10455/,Cabides e varões
https://www.ikea.com/pt/pt/catalog/categories/departments/secondary_storage/10398/,Prateleiras
https://www.ikea.com/pt/pt/catalog/categories/departments/laundry/20597/,Lavagem de roupa e limpeza
https://www.ikea.com/pt/pt/catalog/categories/departments/laundry/11466/,Sistema de arrumação aberta para roupa e sapatos
https://www.ikea.com/pt/pt/catalog/categories/departments/laundry/10452/,Organizadores para roupa
https://www.ikea.com/pt/pt/catalog/categories/departments/laundry/16274/,Ganchos e cabides
